nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT06430268,Efficacy of Non-surgical and Surgical Surface Decontamination Methods on Peri-implantitis-affected Implants,ENROLLING_BY_INVITATION,2024-05-21,2027-06-30,NA,90,INTERVENTIONAL,Andrea Ravida,OTHER,True
NCT02339974,Heterotopic Implantation Of the Edwards-Sapien Transcatheter Aortic Valve in the Inferior VEna Cava for the Treatment of Severe Tricuspid Regurgitation (HOVER),COMPLETED,2015-01,2025-06,PHASE3,15,INTERVENTIONAL,Henry Ford Health System,OTHER,True
NCT07034924,Temporary Aortic Compression With the Abdominal Tourniquet for Refractory Postpartum Hemorrhage,RECRUITING,2025-07-01,2026-07,NA,20,INTERVENTIONAL,LLC UkrMedGroup,INDUSTRY,True
NCT05070013,Adaptive Neurostimulation to Restore Sleep in Parkinson's Disease (Aim 2),RECRUITING,2021-11-18,2026-06-30,NA,20,INTERVENTIONAL,University of Nebraska,OTHER,True
NCT05524220,Effect of Nasal Positive Airway Pressure Versus Standard Care on Oxygenation and Ventilation During Propofol-based Sedation for Colonoscopy in Patients With High Risk of Airway Obstruction,COMPLETED,2022-12-19,2023-08-09,NA,139,INTERVENTIONAL,"The University of Texas Health Science Center, Houston",OTHER,True
NCT03738462,A Study to Evaluate the Conformis Hip System,TERMINATED,2018-11-26,2022-06-06,,49,OBSERVATIONAL,Restor3D,INDUSTRY,True
NCT06615635,Clinical Study Protocol for Cutaneous SCC for Immunocompromised Patients,NOT_YET_RECRUITING,2025-12,2026-12,NA,28,INTERVENTIONAL,Alpha Tau Medical LTD.,INDUSTRY,True
NCT01517659,Non-Invasive Reduction of Fat in the Inner Thighs,COMPLETED,2012-12,2014-10,NA,45,INTERVENTIONAL,Zeltiq Aesthetics,INDUSTRY,True
NCT04421040,Long-term Monitoring of Patients With Cardiac Amyloidosis With Implantable Event Monitors,COMPLETED,2020-10-07,2023-03-22,NA,24,INTERVENTIONAL,Mayo Clinic,OTHER,True
NCT06020508,Lumoptik BRIGHTPOINT Reflectometer Device for Lumbar Epidural Placement,RECRUITING,2023-09-12,2026-07,,36,OBSERVATIONAL,"Hospital for Special Surgery, New York",OTHER,True
NCT07100340,Feasibility and Safety of the Augmented Reality Guidance Software TAVIPILOT Software During Transcatheter Aortic Valve Replacement (TAVR/TAVI),NOT_YET_RECRUITING,2025-09-15,2026-03-15,NA,10,INTERVENTIONAL,Caranx Medical,INDUSTRY,True
NCT03868618,Dual-sided Hypoglossal neRvE stimulAtion for the treatMent of Obstructive Sleep Apnea (DREAM),ACTIVE_NOT_RECRUITING,2020-10-14,2028-02,NA,115,INTERVENTIONAL,Nyxoah S.A.,INDUSTRY,True
NCT03501810,Study Assessing Safety and Performance of OrtoWell Distractor in Patients Undergoing Spinal Surgery,UNKNOWN,2018-04-05,2018-09-30,,32,OBSERVATIONAL,OrtoWay AB,INDUSTRY,True
NCT07357428,Connect-One: Early Feasibility Study of Connexus® Brain-Computer Interface (BCI),RECRUITING,2026-01,2032-01,NA,2,INTERVENTIONAL,Paradromics,INDUSTRY,True
NCT05336877,Aveir VR Coverage With Evidence Development Post-Approval Study,RECRUITING,2022-06-21,2028-01-01,,8744,OBSERVATIONAL,Abbott Medical Devices,INDUSTRY,True
NCT05946629,SELUTION 4 De Novo Small Vessel IDE Trial,RECRUITING,2023-10-20,2031-06,NA,960,INTERVENTIONAL,M.A. Med Alliance S.A.,INDUSTRY,True
NCT04098367,Clinical Investigation of the AcrySof IQ Vivity Extended Vision Intraocular Lens (IOL),COMPLETED,2019-11-18,2021-07-22,NA,222,INTERVENTIONAL,Alcon Research,INDUSTRY,True
NCT03145636,The ReNEW Study: Maestro® New Enrollment Post-Approval Study Protocol,UNKNOWN,2017-08-30,2024-12,NA,4,INTERVENTIONAL,ReShape Lifesciences,INDUSTRY,True
NCT03322592,EUS-FNB With ROSE Vs. EUS-FNB Without ROSE,COMPLETED,2018-03-29,2020-07-30,NA,800,INTERVENTIONAL,Azienda Ospedaliera Universitaria Integrata Verona,OTHER,True
NCT04906811,Prospective Comparison of Revolve™ and AuraGen 123 With AuraClens™ in Autologous Fat Grafting to the Breast,TERMINATED,2021-05-20,2024-02-12,NA,17,INTERVENTIONAL,AuraGen Aesthetics LLC,INDUSTRY,True
NCT05183399,Treatment of Patients With Traumatic or Iatrogenic Vessel Injuries,COMPLETED,2016-12-01,2021-02-14,,30,OBSERVATIONAL,W.L.Gore & Associates,INDUSTRY,True
NCT07005232,Lead Evaluation for Defibrillation and Reliability Post Approval Study,ENROLLING_BY_INVITATION,2026-02,2032-09,,2000,OBSERVATIONAL,Medtronic,INDUSTRY,True
NCT03720639,Confirm Rx™ Versus Reveal LINQ™ - Which is More Reliable in Data Transmission? A Randomized Clinical Study,COMPLETED,2018-05-18,2020-03-09,NA,209,INTERVENTIONAL,Sparrow Clinical Research Institute,OTHER,True
NCT06338709,Clinical Study Protocol for the Assessment of Safety and Efficacy of the BARICLIP®,NOT_YET_RECRUITING,2025-06,2026-08,NA,165,INTERVENTIONAL,Advanced Bariatric Technology,INDUSTRY,True
NCT03381677,Pedicle Osteotomy for Stenosis Trial,SUSPENDED,2017-10-26,2024-10-26,NA,344,INTERVENTIONAL,Innovative Surgical Designs,INDUSTRY,True
NCT01555619,Quadripolar Pacing Post Approval Study,COMPLETED,2012-02-15,2019-02-28,,1971,OBSERVATIONAL,Abbott Medical Devices,INDUSTRY,True
NCT03767595,ProACT Post-Approval Study,RECRUITING,2019-02-19,2030-09-01,NA,145,INTERVENTIONAL,Uromedica,INDUSTRY,True
NCT02700165,Fat Reduction in the Submandibular/Submental Area,COMPLETED,2016-02,2016-12,NA,14,INTERVENTIONAL,Zeltiq Aesthetics,INDUSTRY,True
NCT07477054,A Post-Approval Multicenter Study to Assess the Continued Safety and Effectiveness of the AeroPace® System,NOT_YET_RECRUITING,2026-07-01,2028-02-01,NA,120,INTERVENTIONAL,Lungpacer Medical Inc.,INDUSTRY,True
NCT02941146,DualSculpting the Abdomen Using CoolSculpting,COMPLETED,2016-10,2017-03-29,NA,15,INTERVENTIONAL,Zeltiq Aesthetics,INDUSTRY,True
NCT06203262,Ventricular Catheter Ablation Study (VCAS),RECRUITING,2024-04-12,2027-06-30,NA,60,INTERVENTIONAL,Field Medical,INDUSTRY,True
NCT04000659,Episealer® Knee System IDE Clinical Study,ACTIVE_NOT_RECRUITING,2020-06-18,2028-06,NA,13,INTERVENTIONAL,Episurf Medical Inc.,INDUSTRY,True
NCT03437473,Safety and Efficacy of Vagus Nerve Stimulator in Patients With Rheumatoid Arthritis (RA),COMPLETED,2018-03-06,2018-12-10,NA,14,INTERVENTIONAL,SetPoint Medical Corporation,INDUSTRY,True
NCT07074288,Obstructive Sleep Apnea Non-PAP Outcomes and Viable Alternatives,RECRUITING,2025-06-30,2026-05,NA,60,INTERVENTIONAL,Washington University School of Medicine,OTHER,True
NCT07025356,"Observational Study of the the Use of a Trigeminal Vagal Nerve Stimulator in the Routine Care of Native Americans With Diabetic Neuropathy Pain. Pain Scores, Drug Use and Glucose Measurements Will be Assessed",COMPLETED,2022-09-23,2025-06-01,,83,OBSERVATIONAL,Vagus Nerve Society,OTHER,True
NCT02357082,Mayo Clinic Cardiac Implantable Electronic Device MRI Registry,COMPLETED,2016-12,2022-04-20,,1000,OBSERVATIONAL,Mayo Clinic,OTHER,True
NCT06168669,A Safety and Effectiveness Prospective Blinded Clinical Study to Validate xBar System as Monitoring Tool for Anastomotic Leaks Detection,RECRUITING,2023-03-11,2025-12-01,NA,190,INTERVENTIONAL,Exero Medical Ltd.,INDUSTRY,True
NCT05099380,Validation of Senofilcon A With New UV / HEV Filter,COMPLETED,2021-10-05,2021-11-24,NA,296,INTERVENTIONAL,"Johnson & Johnson Vision Care, Inc.",INDUSTRY,True
NCT04875429,Zenith® Fenestrated+ Clinical Study,RECRUITING,2023-12-08,2031-11,NA,105,INTERVENTIONAL,Cook Research Incorporated,INDUSTRY,True
NCT06594705,The JenaValve ALIGN-AR LVAD Registry,RECRUITING,2024-12-09,2027-08,NA,50,INTERVENTIONAL,"JenaValve Technology, Inc.",INDUSTRY,True
NCT05884359,Left Bundle Branch Area Mapping for Conduction System Pacing,RECRUITING,2023-06-01,2026-12,,30,OBSERVATIONAL,"Steward St. Elizabeth's Medical Center of Boston, Inc.",OTHER,True
NCT04289480,Safety and Effectiveness of ENTERPRISE 2 Device in the Endovascular Treatment of Intracranial Aneurysms,ACTIVE_NOT_RECRUITING,2020-07-30,2026-09-10,,164,OBSERVATIONAL,Medos International SARL,INDUSTRY,True
NCT02904096,Radiesse® Safety Study For the Treatment of Hands,COMPLETED,2016-06-10,2019-01-09,NA,256,INTERVENTIONAL,"Merz North America, Inc.",INDUSTRY,True
NCT05339061,Physician Modified Endograft For Complex Aortic Aneurysm Repair,RECRUITING,2023-03-01,2029-12,NA,40,INTERVENTIONAL,"University of California, Davis",OTHER,True
NCT02747420,PTNS Versus Sham Efficacy in Treatment of BPS,COMPLETED,2016-06,2020-03,NA,40,INTERVENTIONAL,NYU Langone Health,OTHER,True
NCT04244370,Caterpillar™ Arterial Embolization Device Post-Market Study,COMPLETED,2020-04-30,2022-08-12,NA,50,INTERVENTIONAL,C. R. Bard,INDUSTRY,True
NCT03285724,Safety and Performance Study of the Harpoon Mitral Valve Repair System,TERMINATED,2017-05-16,2018-04-20,NA,1,INTERVENTIONAL,Edwards Lifesciences,INDUSTRY,True
NCT03886727,Effectiveness of Rubber Dam Isolation Versus Cotton Roll Isolation on Bonded Fissure Sealant Retention,UNKNOWN,2020-02-01,2021-06-01,NA,50,INTERVENTIONAL,"Zafer Cavit Cehreli, DDS, PhD",OTHER,True
NCT06113354,EXPLORE MRace: Early Feasibility Experience of Posterior Leaflet Restoration to Reduce Mitral Regurgitation Using the MRace Implant,NOT_YET_RECRUITING,2023-12,2029-12,NA,10,INTERVENTIONAL,Polares Medical SA,INDUSTRY,True
NCT05870488,iFuse TORQ for the Treatment of Sacroiliac Joint Dysfunction,ACTIVE_NOT_RECRUITING,2023-05-23,2027-11,PHASE4,110,INTERVENTIONAL,"SI-BONE, Inc.",INDUSTRY,True
NCT06916286,Evaluating the Effect of Surgical Drain Securement on Patient Quality of Life and Postoperative Drain-related Complications,RECRUITING,2025-05-05,2027-05-30,NA,140,INTERVENTIONAL,Wake Forest University Health Sciences,OTHER,True
NCT03508778,Clinical Evaluation of the FluidVision Accommodation Intraocular Lens (AIOL),COMPLETED,2018-02-27,2019-12-06,NA,95,INTERVENTIONAL,PowerVision,INDUSTRY,True
NCT04725890,Safety and Feasibility of a Novel Endoscopic Intervention for the Treatment of Type II Diabetes,COMPLETED,2021-04-20,2024-12-22,NA,65,INTERVENTIONAL,"Endogenex, Inc.",INDUSTRY,True
NCT02678689,"A Safety, Tolerability, and Efficacy Study of BMN 190 in Pediatric Patients < 18 Years of Age With CLN2 Disease",COMPLETED,2016-01-22,2022-04-20,PHASE2,14,INTERVENTIONAL,BioMarin Pharmaceutical,INDUSTRY,True
NCT03085238,Metastatic Tumor Cell Trap Device in Patients With Advanced Ovarian Cancer,COMPLETED,2017-03-09,2019-12-31,NA,23,INTERVENTIONAL,"MTrap, Inc.",INDUSTRY,True
NCT07151638,First-in-Human Safety Study for Fractomer™ Biomatrix,COMPLETED,2025-08-11,2025-11-05,NA,2,INTERVENTIONAL,"inSoma Bio, Inc.",INDUSTRY,True
NCT06775626,Body Composition and Sport Performance Among Young Female Soccer Players Using Subdermic Etonogestrel,SUSPENDED,2025-04-01,2025-12,EARLY_PHASE1,40,INTERVENTIONAL,Maíta Poli de Araújo,OTHER,True
NCT05301335,"Spinal COrd NeuromodulaTor by SpIneX and ScoNE to Treat NeurogeniC BladdEr - SCONE ""CONTINENCE"" Clinical Study",COMPLETED,2022-05-25,2024-05-01,NA,126,INTERVENTIONAL,SpineX Inc.,INDUSTRY,True
NCT06190717,Maturation of Arteriovenous Fistula With Automated Sonography Assessments Trial,RECRUITING,2024-02-21,2026-02-01,NA,304,INTERVENTIONAL,"Sonavex, Inc.",INDUSTRY,True
NCT03199391,BioWick SureLock Clinical Outcomes Study,COMPLETED,2017-04-26,2021-05-05,NA,71,INTERVENTIONAL,Zimmer Biomet,INDUSTRY,True
NCT05371535,A Clinical Trial to Evaluate the Safety and Effectiveness of MatrixOssTM Bone Graft,UNKNOWN,2022-05-30,2023-06-30,NA,188,INTERVENTIONAL,Collagen Matrix,INDUSTRY,True
NCT01740700,Zenith® p-Branch® OTS Multicenter Study,COMPLETED,2013-01,2020-06-22,NA,30,INTERVENTIONAL,Cook Research Incorporated,INDUSTRY,True
NCT05736848,A Retrospective Assessment of OviTex PRS (OviTex),RECRUITING,2022-09-27,2026-12-31,,200,OBSERVATIONAL,Tela Bio Inc,INDUSTRY,True
NCT04027140,MDR - M/L Taper With Kinectiv Technology Stems and Necks,TERMINATED,2020-01-22,2024-11-05,,36,OBSERVATIONAL,Zimmer Biomet,INDUSTRY,True
NCT03008837,Feasibility Study: fMRI Evaluation of Auricular PENFS for Fibromyalgia,COMPLETED,2017-06-01,2019-05-31,NA,27,INTERVENTIONAL,VA Office of Research and Development,FED,True
NCT07226375,Endoscopic Tissue Cutting and Abdominal Extraction Device vs. Conventional Cold Scalpel,RECRUITING,2025-11-13,2026-12-17,NA,84,INTERVENTIONAL,Ege University,OTHER,True
NCT05779683,Caretaker in the Cardiovascular Intensive Care Unit (CVICU),COMPLETED,2021-11-01,2021-12-28,,50,OBSERVATIONAL,Wake Forest University Health Sciences,OTHER,True
NCT06107361,Evaluating the Role of the Guidewire in Peripheral Intravenous Access: A Randomized Controlled Trial of Ultrasound-Guided Catheter Survival,RECRUITING,2023-11-07,2026-05,NA,360,INTERVENTIONAL,Corewell Health East,OTHER,True
NCT06819683,Validation of Nanosensor Oxygen Measurement,RECRUITING,2025-01-02,2026-09,PHASE1,96,INTERVENTIONAL,Children's Hospital of Philadelphia,OTHER,True
NCT04662970,Optimization of Cardiac Resynchronization Therapy by Non-Invasive Imaging of Cardiac Electrophysiology,RECRUITING,2020-01-01,2027-12-31,NA,25,INTERVENTIONAL,Medical University Innsbruck,OTHER,True
NCT06382272,A Bionic Breast Project Using Neuroprosthesis to Reduce Chronic Pain After Mastectomy,RECRUITING,2025-05-14,2028-01-31,NA,8,INTERVENTIONAL,University of Chicago,OTHER,True
NCT03231046,Modality Augmentation for Navigation: Intuitive Fusion With Optical Lightweight Device (US/CBCT),WITHDRAWN,2018-04-01,2019-03,NA,0,INTERVENTIONAL,Clear Guide Medical,INDUSTRY,True
NCT02483988,The SUN Clinical Trial (Safety Utilizing NUsurface Meniscus Implant),UNKNOWN,2015-12,2023-12,NA,115,INTERVENTIONAL,Active Implants,INDUSTRY,True
NCT01964261,Sensory Motor Transformations in Human Cortex,RECRUITING,2013-11-01,2027-01-31,NA,5,INTERVENTIONAL,"Richard A. Andersen, PhD",OTHER,True
NCT06968741,A Study to Assess the Safety and Effectiveness of the UrOActive® Artificial Urinary sPHincter (AUS),RECRUITING,2025-05-19,2031-12,NA,140,INTERVENTIONAL,UroMems SAS,INDUSTRY,True
NCT04396379,Epicardial Mitral Touch System for Mitral Insufficiency,NOT_YET_RECRUITING,2023-09-10,2027-12-31,NA,10,INTERVENTIONAL,Mitre Medical Corp.,INDUSTRY,True
NCT03189303,Cup Position in THA With Standard Instruments,COMPLETED,2017-09-07,2021-12-14,,183,OBSERVATIONAL,DePuy Orthopaedics,INDUSTRY,True
NCT06203054,CLIP-IT Post-Market Study,ACTIVE_NOT_RECRUITING,2024-02-26,2029-02,NA,150,INTERVENTIONAL,Medtronic Cardiac Surgery,INDUSTRY,True
NCT03093935,StimRouter™ for Pain Management in Post-stroke Shoulder Pain,TERMINATED,2018-07-01,2020-11-20,NA,6,INTERVENTIONAL,Bioness Inc,INDUSTRY,True
NCT07224308,Long-Term Efficacy and Duration of MFU-V at Multiple Depths and at 1.5 mm,RECRUITING,2025-10-24,2026-12-30,NA,20,INTERVENTIONAL,The Levine Center for Plastic Surgery,OTHER,True
NCT06355791,Post-Market Clinical Study of Functional Motion Outcomes in Subjects Treated With the Minuteman Device,RECRUITING,2024-05-29,2030-12,NA,150,INTERVENTIONAL,Spinal Simplicity LLC,INDUSTRY,True
NCT04656678,Focal US-guided Cryo-ablation Using DynaCAD / UroNAV Preplanning / Guidance of Intermediate Risk Prostate Cancer,UNKNOWN,2020-11-25,2025-10-30,NA,200,INTERVENTIONAL,Northwell Health,OTHER,True
NCT02583178,Feasibility Study of a Left Atrial Appendage Closure Device in Patients With Atrial Fibrillation,UNKNOWN,2017-08-25,2024-08,NA,7,INTERVENTIONAL,Aegis Medical Innovations,INDUSTRY,True
NCT03838978,"Calypso Knee System Clinical Study, OUS",COMPLETED,2019-02-08,2025-03-14,NA,81,INTERVENTIONAL,Moximed,INDUSTRY,True
NCT02782715,Microwave Ablation With MRI-Guided SBRT Boost in Renal Cell Carcinoma,TERMINATED,2018-06-28,2023-01-10,"PHASE1, PHASE2",3,INTERVENTIONAL,"University of Wisconsin, Madison",OTHER,True
NCT03255798,A Prospective Evaluation of Glaucoma Subjects Treated With Two Second Generation iStents and One iStent Supra,TERMINATED,2017-08-01,2019-06-06,NA,7,INTERVENTIONAL,Glaukos Corporation,INDUSTRY,True
NCT06653387,"A Single-arm, Pivotal Study to Evaluate Acute Device and Technical Success of the CGuard Prime Carotid Stent System When Used in Conjunction to the ENROUTE Transcarotid Neuroprotection System in Patients Undergoing Carotid Artery Stenting Via the Transcarotid Artery Revascularization Approach",RECRUITING,2024-11-20,2027-11-20,NA,50,INTERVENTIONAL,InspireMD,INDUSTRY,True
NCT05574868,Rigicon Infla10® Three-Piece Inflatable Penile Prosthesis (ERASE ED),RECRUITING,2022-07-11,2026-05-21,NA,182,INTERVENTIONAL,"Rigicon, Inc.",INDUSTRY,True
NCT02943850,CNS10-NPC-GDNF for the Treatment of ALS,COMPLETED,2017-04-01,2019-10-18,PHASE1,18,INTERVENTIONAL,Cedars-Sinai Medical Center,OTHER,True
NCT02931240,BioVentrix Revivent TC™ System Clinical Study,ACTIVE_NOT_RECRUITING,2017-08-29,2027-06-30,NA,126,INTERVENTIONAL,BioVentrix,INDUSTRY,True
NCT03022708,Xeltis Bioabsorbable Pulmonary Valved Conduit Pivotal Study,ACTIVE_NOT_RECRUITING,2017-05-08,2026-12,NA,56,INTERVENTIONAL,Xeltis,INDUSTRY,True
NCT04246268,Assessment of the INVOcell Intravaginal Culture System,SUSPENDED,2020-10,2022-03,NA,180,INTERVENTIONAL,"INVO Bioscience, Inc.",INDUSTRY,True
NCT06393907,Hemostatic Forceps vs. Bipolar Electrocautery Probes for High-Risk Bleeding Gastroduodenal Ulcers,RECRUITING,2024-03-26,2026-04-26,NA,150,INTERVENTIONAL,Mahidol University,OTHER,True
NCT05034471,Mi-STITCH™ and Mi-KNOT™ Device Technologies - Improvement of Mitral Valve Repair,UNKNOWN,2021-08-05,2023-04,NA,12,INTERVENTIONAL,Medical University of Vienna,OTHER,True
NCT04028687,MDR - PMCF Study for Taperloc Complete Stems,RECRUITING,2020-02-13,2032-02-12,,820,OBSERVATIONAL,Zimmer Biomet,INDUSTRY,True
NCT07217236,Proactive Risk Evaluation for Cardiac Implantable Electronic Device Strategy Using AI-ECG,RECRUITING,2025-11-01,2026-10-31,NA,11492,INTERVENTIONAL,"National Defense Medical Center, Taiwan",OTHER,True
NCT04033692,MDR-JuggerKnot Mini Soft Anchor in Maxillofacial TMJ,WITHDRAWN,2021-12-01,2022-11-01,,0,OBSERVATIONAL,Zimmer Biomet,INDUSTRY,True
NCT04987138,Safety and Effectiveness Study of the Zenflow Spring System,ACTIVE_NOT_RECRUITING,2021-09-30,2026-06,NA,279,INTERVENTIONAL,"Zenflow, Inc.",INDUSTRY,True
NCT04905290,Conduction System Pacing Optimized Therapy,COMPLETED,2021-11-27,2023-11-02,NA,60,INTERVENTIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT06431815,ADVENT Post Approval Study,ACTIVE_NOT_RECRUITING,2024-09-25,2029-10,,228,OBSERVATIONAL,Boston Scientific Corporation,INDUSTRY,True
